idcode,date,wordcount,author,title
00010671,1942,56716,"Lambert, Janet",Dreams of glory
00010716,1943,42615,"Lambert, Janet",Glory be!
00010856,1947,51068,"Lambert, Janet",Practically perfect
nyp.33433082191085,1753,77287,Virgil.,The works of Virgil
mdp.39015078562975,1753,85758,"Swift, Jonathan,",The works of the Reverend Dr. J. Swift
nnc1.1002346672,1755,125308,"Drake, Peter,",The memoirs of Capt. Peter Drake
nyp.33433076095706,1765,71955,"Swift, Jonathan,","The works of Dr. Jonathan Swift, Dean of St. Patrick's, Dublin"
mdp.39015057619382,1767,84552,"Swift, Jonathan,",Letters written by Jonathan Swift
uc2.ark:/13960/t4rj4h44p,1769,86572,"Swift, Jonathan,","Letters, written by the late Jonathan Swift, D.D. Dean of St. Patrick's, Dublin, and several of his friends"
mdp.39015023070538,1797,801910,"Hall, William Henry,",The new encyclopaedia;
mdp.39015080088043,1808,1563508,<blank>,An exposition of all the books of the Old and New Testaments
mdp.39015080088068,1808,1022156,<blank>,An exposition of all the books of the Old and New Testaments
hvd.hwricy,1826,440849,<blank>,The Spectator;
nyp.33433082191754,1831,791083,Plutarch.,Plutarch's Lives
hvd.ah6n4u,1833,800909,<blank>,The Christian library
hvd.32044019326420,1834,1097179,<blank>,The Congressional globe
hvd.32044106523509,1834,1099374,<blank>,The Congressional globe
hvd.32044106526189,1834,1482954,<blank>,The Congressional globe
hvd.32044103136677,1834,1766026,<blank>,The Congressional globe
hvd.32044103136636,1834,1413952,<blank>,The Congressional globe
hvd.ah58q3,1835,845972,"Josephus, Flavius.",The works of Flavius Josephus
njp.32101074942739,1836,799130,Plutarch.,Lives
wu.89094688280,1836,637918,"Rollin, Charles,","The ancient history of the Egyptians, Carthaginians, Assyrians, Babylonians, Medes and Persians, Grecians, and Macedonians"
uc1.$b557171,1838,596539,<blank>,Voyages and travels
mdp.39015010573544,1839,2692736,"Cruden, Alexander,",A complete concordance to the Holy Scriptures of the Old and New Testament
mdp.39015067177553,1842,731660,"Johnson, Samuel,","The works of Samuel Johnson, LL. D"
loc.ark:/13960/t8ff48h6z,1843,1195286,"Froissart, Jean,","Chronicles of England, France, Spain, and the adjoining countries"
uc2.ark:/13960/t91837f63,1846,154091,"Ollendorff, Heinrich Gottfried,","Ollendorff's new method of learning to read, write, and speak the German language;"
nyp.33433069238875,1846,1339580,"Hilpert, J. L.","A dictionary of the English and German, and the German and English language"
uva.x030796260,1848,815366,"Bush, George,",Illustrations of the Holy Scriptures
njp.32101074884758,1849,697948,<blank>,Sidney's Emigrant's journal
mdp.39015063183696,1850,846666,"Josephus, Flavius.","The works of Flavius Josephus, the learned and authentic Jewish historian and celebrated warrior"
inu.30000053300053,1850,807126,Plutarch.,Lives
nyp.33433068229099,1854,229713,"Tertullian,",Tertullian : Apologetic and practical treatises
nyp.33433009485610,1854,671689,<blank>,"The Equity reports, 1853-1855"
nyp.33433009485842,1854,308312,<blank>,"The Equity reports, 1853-1855"
wu.89094739760,1856,729505,"Knight, Charles,",The English cyclopædia
uva.x030802449,1859,100018,"Wimble, Moses.",The history of Moses Wimble
pst.000001707816,1859,1722052,<blank>,The comprehensive commentary on the Holy Bible
mdp.39015020796721,1866,841579,<blank>,The English cyclopaedia
uva.x000675193,1866,224969,"Defoe, Daniel,",Robinson Crusoe
njp.32101067000941,1875,680713,"Orton, Arthur,",The trial at bar of Sir Roger C. D. Tichborne
nyp.33433081982773,1879,1167233,"Hunter, Robert,",The encyclopædic dictionary
mdp.39015078553180,1885,149388,"Defoe, Daniel,","The life and adventures of Robinson Crusoe, of York, mariner"
njp.32101067624328,1895,70081,"Balzac, Honoré de,","Honoré de Balzac, now for the first time completely translated into English"
mdp.49015002073592,1896,145500,"Balzac, Honoré de,",La comédie humaine of Honoré de Balzac;
uc2.ark:/13960/t1mg7hk0z,1900,120611,"Balzac, Honoré de,",Honoré de Balzac in twenty-five volumes;
uc1.b3018347,1900,197761,"Balzac, Honoré de,",Honoré de Balzac in twenty-five volumes;
coo.31924052662461,1901,236580,"Balzac, Honoré de,",The works of Honoré de Balzac
uva.x000357485,1906,1898689,<blank>,The Century dictionary and cyclopedia;
